media ID,account ID,username,user homepage,post_content,post_time,URL,like,comment,Share,play,original,keyword,fraudulent（true=1，false=0）,individual/news,after cleaning
9.39725E+15,1E+14,Mika U Chung,https://www.facebook.com/mika.chung1,這是？😒腿好粗 公開Line 帳號就知道要騙錢的,2024-10-30 20:27:07,https://www.facebook.com/mika.chung1/posts/pfbid02GGcH579pPeesC9uDVWittpKeTzaYPNVZmjxy1Zb7tb1v6geTkqSXrzYa21BsPVbJl,18,11,0,0,原创,騙錢,1,个人,這是 😒 腿 好 公開 Line 帳號 騙
9.46851E+15,1E+14,陳星羽,https://www.facebook.com/profile.php?id=100000180524660,"自己經銷小飛碟之後，發現它回購率真的好高😱

剛開始每賣出一台，我心裡都有點緊張，畢竟我有感覺不代表每個人都有感吧？很怕這一台兩三萬的機器，客人買回去根本任何感覺都沒有，覺得被我騙錢什麼的😂

但這樣的事從來沒發生過，還常常收到客人們的分享，有時我看了客人生活的改變，都感動到想哭。

很多人像我一樣，百般猶豫掙扎地買了第一台（不是價格的問題，真的會擔心這是智商稅），過一陣子又再回來買其他機型。

曾經有一位買過一台 Vedic 的客人來回購 Luna，結果我們出貨成 Ruby，客人打開發現不是她訂購的款式，私訊請我們處理。

那天是週五，既然都打開了，我就請客人先用用看，週一再安排換貨，出錯的那台我打算留下來自用。

過了幾天聯繫換貨細節時，客人說不用退換了， Ruby 她要留下，原本想要的 Luna 她也再次訂購了。

總之，小飛碟真是很有魅力的東西😆

圖：新品保護手鍊，由30顆迷你飛碟形狀的玻璃珠串起來，價格還很便宜

只是它不能單獨使用，得搭配主機型才行......",2024-11-02 23:58:10,https://www.facebook.com/permalink.php?story_fbid=pfbid0QYojJDyv2Maiw2ZZEV8P4SNayj6nM7zvU1Pd8XYvqJcyhZkbLXbns9UdxtX1zS9El&id=100000180524660,98,1,0,0,原创,騙錢,0,个人,經銷 小飛 碟 發現 回 購率 真的 好 高 😱 剛開始 每賣 一台 我心 裡都 有點 緊張 有感 覺 代表 每個 人 有感 很怕 一台 兩三萬 機器 客人 買 回去 感覺 覺得 騙 😂 事 發生過 收到 客人 分享 有時 客人 生活 改變 感動 想 哭 人像 百般 猶豫 掙扎 買 第一台 價格 問題 真的 擔心 這是 智商 稅 過一陣子 再 回來 買 機型 曾經 一位 買過 一台 Vedic 客人 回購 Luna 出貨成 Ruby 客人 打開 發現 訂購 款式 私訊 請 處理 那天 週五 打開 請 客人 先用 週 一再 安排 換貨 出錯 那台 打算 留下 自用 過了 幾天 聯 繫 換 貨 細 節 時 客人 說 不用 退換 Ruby 留下 原本 想要 Luna 再次 訂購 總 小飛 碟 魅力 東西 😆 圖 新品 保護手 鍊 30 顆 迷你 飛 碟形 狀 玻璃珠 串起 價格還 便宜 單獨 搭配 主機型 行 ......
9.76218E+14,1.00064E+14,屯門友,https://www.facebook.com/tuenmunlocals,"街坊報料

大家係置樂要小心呢個女人（普通話口音），用大紙（$1000），博人哋找錢時，就走佬想攪亂人視線，騙錢。

各位老闆小心",2024-11-07 13:36:53,https://www.facebook.com/tuenmunlocals/posts/pfbid0ty7dQKqTkJh9NQSr5KQoEySaF4VbWk9SoB7H11ZMDNrD1cknWrNu7j2qYx1EcMhnl,324,56,66,0,原创,騙錢,1,个人,街坊 報料 置樂要 小心 女人 話 口音 用大紙 1000 博人 哋 找 時 走佬想 攪亂 人視線 騙 闆 小心
9.68323E+14,4.83695E+14,Anonymous participant,,"李佳隆先生
騙財又騙色 專門找女生 女生們注意嘍
六萬二沒有很多 不用那麼漏氣 一直話術
啊做娛樂城哦 大家別玩嘿 怎麼被騙錢都不知道哦
台南有你這種的真的是髒了台南的地 不要再來高雄做娛樂城了 污化台南新營不夠還要污化高雄？
被盜也是被你盜啦 自導自演什麼 看不懂欸 疑點一堆啊手腳都被看破了還死不出來 可憐",2024-11-13 23:43:01,https://www.facebook.com/groups/452115616744235/posts/%E6%9D%8E%E4%BD%B3%E9%9A%86%E5%85%88%E7%94%9F%E9%A8%99%E8%B2%A1%E5%8F%88%E9%A8%99%E8%89%B2-%E5%B0%88%E9%96%80%E6%89%BE%E5%A5%B3%E7%94%9F-%E5%A5%B3%E7%94%9F%E5%80%91%E6%B3%A8%E6%84%8F%E5%98%8D%E5%85%AD%E8%90%AC%E4%BA%8C%E6%B2%92%E6%9C%89%E5%BE%88%E5%A4%9A-%E4%B8%8D%E7%94%A8%E9%82%A3%E9%BA%BC%E6%BC%8F%E6%B0%A3-%E4%B8%80%E7%9B%B4%E8%A9%B1%E8%A1%93%E5%95%8A%E5%81%9A%E5%A8%9B%E6%A8%82%E5%9F%8E%E5%93%A6-%E5%A4%A7%E5%AE%B6%E5%88%A5%E7%8E%A9%E5%98%BF-%E6%80%8E%E9%BA%BC%E8%A2%AB%E9%A8%99%E9%8C%A2%E9%83%BD%E4%B8%8D%E7%9F%A5%E9%81%93%E5%93%A6%E5%8F%B0%E5%8D%97%E6%9C%89%E4%BD%A0%E9%80%99%E7%A8%AE%E7%9A%84%E7%9C%9F%E7%9A%84%E6%98%AF%E9%AB%92%E4%BA%86%E5%8F%B0%E5%8D%97%E7%9A%84/968322975123494/,1,1,0,0,原创,騙錢,1,个人,李佳隆 騙財 騙色 專門 找 女生 女生 嘍 六萬二 不用 漏氣 話術 做 娛樂城 別玩嘿 騙 台南 這種 真的 髒 台南 再來 高雄 做 娛樂城 污化 台南 新營 不夠 還要 污化 高雄 盜 盜 自導 自演 看不懂 欸 疑點 一堆 手腳 看破 還死 可憐
9.46022E+15,1.00036E+14,王小偶,https://www.facebook.com/profile.php?id=100035518393623,基隆人 在台北酒店上班  話術騙錢 錢借一借就封鎖  台北人 請小心 別再被他騙了  此人：高若琳,2024-11-04 12:09:14,https://www.facebook.com/groups/2562898853742784/posts/%E5%9F%BA%E9%9A%86%E4%BA%BA-%E5%9C%A8%E5%8F%B0%E5%8C%97%E9%85%92%E5%BA%97%E4%B8%8A%E7%8F%AD-%E8%A9%B1%E8%A1%93%E9%A8%99%E9%8C%A2-%E9%8C%A2%E5%80%9F%E4%B8%80%E5%80%9F%E5%B0%B1%E5%B0%81%E9%8E%96-%E5%8F%B0%E5%8C%97%E4%BA%BA-%E8%AB%8B%E5%B0%8F%E5%BF%83-%E5%88%A5%E5%86%8D%E8%A2%AB%E4%BB%96%E9%A8%99%E4%BA%86-%E6%AD%A4%E4%BA%BA%E9%AB%98%E8%8B%A5%E7%90%B3/9460224957343438/,1,0,0,0,原创,騙錢,1,个人,基隆人 台北 酒店 上班 話術 騙 一借 封鎖 台北人 請 小心 再 騙 此人 高若琳
9.65599E+14,1.00065E+14,靠北藝術 kaobei Art,https://www.facebook.com/kaobeiart2.0,"#靠北藝術KBA20727  #匿名靠北請至：https://submit.crush.ninja/kaobeiart20

文化斂財賤人
到處騙錢的垃圾

投稿日期：  Oct. 29, 2024, 2:33 a.m. UTC",2024-10-30 15:30:12,https://www.facebook.com/kaobeiart2.0/posts/pfbid02Gz7GY7xBAq22M1dAtBBcAcrQPH1pkEwuWP8emzSfXJj3QFQyDHGgbRkgU2ZW5L5Wl,1,0,0,0,原创,騙錢,1,个人,靠北 藝術 KBA20727 匿名 靠北 請 https submit crush ninja kaobeiart20 文化 斂 財賤 人 處 騙 垃圾 投稿 日期 Oct 29 2024 33 a m UTC
9.73364E+15,1.00027E+14,謝旎,https://www.facebook.com/profile.php?id=100027204202988,"‼️更新 此人收款帳號與「宇文雅億」相同
應該是更換臉書名字，請留意銀行帳號‼️

有人跟我一樣被 簡奕樊 騙的嗎？
不管金額多少 請妳們趕快去報案
（我已經報案了）
目前已經有6個跟我聯繫了
未爆彈不知道還有多少個

‼️然後
‼️後面有位他的朋友請受害者提供帳號
‼️拜託請妳們不要提供
被騙錢很可憐了 
等等變人頭戶會更可憐
如不想報案
請要求警局或其它安全的地方面交
保障妳的個人安全",2024-11-11 02:04:36,https://www.facebook.com/groups/Crazymomi/permalink/9733636693322429/,11,8,1,0,原创,騙錢,1,个人,‼ ️ 更新 此人 收款 帳號 「 宇 文雅 億 應該 更換 臉書 名字 請 留意 銀行 帳號 ‼ ️ 有人 簡奕樊 騙 金額 請 妳 報案 已經 報案 已經 聯 繫 未 爆彈 ‼ ️ ‼ ️ 面有位 朋友 請 受害者 提供 帳號 ‼ ️ 拜 託 請 妳 提供 騙 可憐 變人頭 戶會 可憐 不想 報案 請 警局 地方 面交 保障 妳 人
7.81761E+15,6.15655E+13,王偉德,https://www.facebook.com/profile.php?id=61565477171730,騙錢不還，人還躲起來，我每天發一張你的照片，讓人找你消費，還錢，我要讓你發紅發紫,2024-11-04 10:38:01,https://www.facebook.com/groups/5439380039497680/posts/%E9%A8%99%E9%8C%A2%E4%B8%8D%E9%82%84%E4%BA%BA%E9%82%84%E8%BA%B2%E8%B5%B7%E4%BE%86%E6%88%91%E6%AF%8F%E5%A4%A9%E7%99%BC%E4%B8%80%E5%BC%B5%E4%BD%A0%E7%9A%84%E7%85%A7%E7%89%87%E8%AE%93%E4%BA%BA%E6%89%BE%E4%BD%A0%E6%B6%88%E8%B2%BB%E9%82%84%E9%8C%A2%E6%88%91%E8%A6%81%E8%AE%93%E4%BD%A0%E7%99%BC%E7%B4%85%E7%99%BC%E7%B4%AB/7817611271674533/,119,20,2,0,原创,騙錢,1,个人,騙錢 不還 人還 躲 發一張 照片 人 找 消費 還錢 我要 發紅發 紫
8.26632E+15,1.00003E+14,殞星詐欺師,https://www.facebook.com/profile.php?id=100002852458819,"他鎖起來了😭😭

還有 有被他騙錢的，這裡提供她的帳戶
中國信託，一定是本人 也找得到本人",2024-10-28 03:52:56,https://www.facebook.com/permalink.php?story_fbid=pfbid0zp6wdQXuQNHEceSKNNtiRaLdRLMnL5yCSw5cZka4sZapXWceCqCZUyTBiXQnDFvBl&id=100002852458819,58,8,3,0,原创,騙錢,1,个人,他鎖 😭 😭 騙 這裡 提供 帳戶 中國信 託 找
5.45112E+14,1.00083E+14,靠北釣蝦 3.0,https://www.facebook.com/profile.php?id=100083077131400,"#靠北釣蝦306919

只會騙錢還會幹嘛

投稿日期：  Nov. 4, 2024, 4:06 p.m. CST",2024-11-07 13:43:11,https://www.facebook.com/permalink.php?story_fbid=pfbid02jPLtqj6DqgrfPMYFaEzPnkJ4m1GcRCe8hE6pGhxD4D5EAQzk8XUrmh7TRH3jFbG2l&id=100083077131400,26,2,0,0,原创,騙錢,1,个人,靠北 釣蝦 306919 只會 騙 還會 幹 投稿 日期 Nov 2024 06 p m CST
